province,office,address,website
경기남부,시흥경찰서,경기도 시흥시 황고개로 513,http://www.ggpolice.go.kr/sh
경기남부,안산단원경찰서,경기도 안산시 단원구 화랑로 373,http://www.ggpolice.go.kr/ansan/
경기남부,안산상록경찰서,경기도 안산시 상록구 차돌배기로 10,http://www.ggpolice.go.kr/assn
경기남부,안성경찰서,경기도 안성시 알미산로 140,http://www.ggpolice.go.kr/as
경기남부,안양동안경찰서,안양시 동안구 동안로159번길 43,http://www.ggpolice.go.kr/ayda
경기남부,양평경찰서,경기도 양평군 양평읍 양근강변길 42,http://www.ggpolice.go.kr/yp
경기남부,여주경찰서,경기도 여주시 세종로 50,http://www.ggpolice.go.kr/yj
경기남부,용인동부경찰서,경기도 용인시 처인구 금학로 143,http://www.ggpolice.go.kr/yidb
경기남부,이천경찰서,경기도 이천시 부악로 32,http://www.ggpolice.go.kr/ic
경기남부,평택경찰서,경기도 평택시 중앙로 67,http://www.ggpolice.go.kr/pt
경기남부,오산경찰서,경기도 오산시 동부대로 596,http://www.ggpolice.go.kr/os/
경기남부,화성서부경찰서,경기도 화성시 남양읍 남양로 570,http://www.ggpolice.go.kr/hssb
경기남부,화성동탄경찰서,경기도 화성시 동탄대로 13길 70,http://www.ggpolice.go.kr/hsdt/index.do
경기남부,하남경찰서,경기도 하남시 검단로 27,http://www.ggpolice.go.kr/hn
경기남부,의왕경찰서,경기도 의왕시 시청로 96,http://www.ggpolice.go.kr/uw
경기남부,안양만안경찰서,경기도 안양시 만안구 냉천로 63,http://www.ggpolice.go.kr/ayma
경기남부,부천오정경찰서,경기도 부천시 오정구 소사로 631,http://www.ggpolice.go.kr/bcoj
경기남부,용인서부경찰서,경기도 용인시 기흥구 용구대로2469번길 32,http://www.ggpolice.go.kr/yisb
강원,강원지방경찰청,강원도 춘천시 동내면 세실로 49,http://www.gwpolice.go.kr
강원,강릉경찰서,강원도 강릉시 강릉대로 377,http://www.gwpolice.go.kr/gn
